Name,Link,Category,Location,Description,Tags,Programs,Who They Serve,Neighborhood,Impact,Themes,Age Group,Volunteer Friendly
Greater Chicago Food Depository,https://www.chicagosfoodbank.org/,Food,"Chicago, IL - Avondale","The Greater Chicago Food Depository strives to end hunger by connecting neighbors with healthy food and advancing solutions that address the root causes of hunger. They supply donated and purchased food to a network of 650+ pantries, soup kitchens, and shelters across Cook County. They also invest in programs and services to lift neighbors out of poverty and into a secure and healthy future.","food security, hunger relief, nutrition, advocacy, volunteering, community building, Cook County, food bank","Food Assistance Programs; Food & Medical Benefits Navigation; Nutrition Resources; Support for Families; Support for Older Adults; Support for Students; Lunch Bus; Producemobile; Advocacy; Virtual Food Drives; Volunteer Opportunities","Low-income individuals and families in Cook County; 1 in 6 Cook County residents",citywide,96 million meals provided across all food programs during fiscal year 2025,"basic needs, community building, public health, systemic change",all ages,yes
Cara Collective,https://caracollective.org/,Economic Mobility,"Chicago, IL","Cara Collective is dedicated to developing employment pathways and individual and community success. Their mission is to build an inclusive economy by unlocking the strengths of people experiencing homelessness and poverty, helping them find gainful employment. They aim to eradicate relational and financial poverty through workforce training and social enterprise.","workforce development, job placement, poverty reduction, homelessness, community development, social enterprise, employment training, economic mobility","Cara (workforce training program); CleanSlate (transitional employment); Cara Plus (intensive support)","People experiencing homelessness and poverty; job seekers; returning citizens",citywide,17263 jobs placed since 1991,"economic mobility, workforce development, community building, systemic change, mentorship",adults,yes
Chicago Public Library Foundation,https://cplfoundation.org/,Education,"Chicago, IL","The Chicago Public Library Foundation accelerates the potential of the public library by investing in resources that transform lives and communities. They fund programs not covered by tax dollars to expand access, advance learning, and connect communities in every neighborhood. Their goal is to close the academic opportunity gap and bring tools for success to all Chicagoans.","education, literacy, digital inclusion, workforce development, arts, culture, community, Chicago","YOUmedia (teen digital media labs); Live from the Library; Summer Learning Activities; Afterschool Homework Help; Computer Courses on Chicago DigitalLearn; One-on-One Digital Literacy with CyberNavigators","All Chicagoans; emphasis on youth and underserved communities",citywide,445000+ library users served by donor-funded programs in 2024 — an increase of over 100000 from 2023,"education access, community building, economic mobility, youth empowerment",all ages,no
Alliance for the Great Lakes,https://greatlakes.org/,Environment,"Chicago, IL","The Alliance for the Great Lakes is a nonpartisan nonprofit working across the region to protect the fresh, clean, and natural waters of the Great Lakes. They combine advocacy, research, and education to prevent pollution, restore habitats, and fight for environmental justice. Their work spans legislative action, community engagement, and K–12 education.","Great Lakes, water protection, environmental advocacy, conservation, pollution, education, research, community","Adopt-a-Beach Cleanup; Great Lakes in My World (K-12 curriculum); Alliance Ambassadors; Plastic-Free Great Lakes Toolkit; Harmful Algal Bloom Monitoring; Invasive Carp Prevention; Water Affordability Advocacy","Communities and ecosystems of the Great Lakes region; low-income households; K-12 students",citywide,Won a historic cleanup goal for Lake Erie with a commitment to a 40% reduction in nutrient pollution by 2025,"environmental justice, systemic change, community building, education access, public health",all ages,yes
Center on Halsted,https://www.centeronhalsted.org/,LGBTQ,"Chicago, IL - Lakeview (Boystown)","Center on Halsted is the Midwest's most comprehensive community center dedicated to advancing the health, wellness, and cultural enrichment of Chicago's LGBTQ+ community. Since 1973, it has provided a vast array of programs and services — from behavioral health to senior care — fostering connection and purpose for tens of thousands annually. It also operates Town Hall Apartments, the area's first LGBTQ-friendly affordable housing project.","LGBTQ+, health, wellness, culture, community, youth, seniors, affordable housing","Behavioral Health Services; HIV/STI Testing & Resources; Youth Programming; Pride in Aging (Senior Center); Education & Employment Services; Arts & Theater; Recreation & Wellness; Social Events; Town Hall Apartments (affordable housing)","LGBTQ+ individuals of all ages; emphasis on youth and seniors",Lakeview,19361 individuals served annually,"safe spaces, community building, mental health, housing stability, youth empowerment, public health",all ages,yes
Chicago Coalition for the Homeless,https://chicagohomeless.org/,Housing,"Chicago, IL","The Chicago Coalition for the Homeless is the only Illinois nonprofit committed exclusively to advocating for public policy that will curb and end homelessness. They build community power and advance racial equity through organizing, advocacy, legal assistance, and education. CCH targets the lack of affordable housing across Illinois and metropolitan Chicago.","homelessness, housing, advocacy, legal aid, racial equity, community organizing, policy, affordable housing","Housing Justice Advocacy; Youth Homelessness Programs; Reentry Support; Educational Rights; Civil Rights Legal Aid; Public Benefits Navigation; Racial Equity Initiatives; Policy & Budget Advocacy; Community Education & Outreach; Data & Research","People experiencing or at risk of homelessness in Chicago and Illinois; youth; returning citizens",citywide,4000+ people impacted by homelessness reached via outreach annually,"housing stability, basic needs, systemic change, community building, education access, youth empowerment",all ages,no
Paws and Claws Cat Rescue,https://www.pawsandclawscatrescue.org/,Animal,"Evanston, IL (Chicagoland)","Paws and Claws Cat Rescue is a 501(c)(3) nonprofit dedicated to preventing and alleviating the suffering of cats caused by abuse, neglect, and overpopulation. They rescue and rehabilitate cats and help them find loving forever homes. The organization relies entirely on volunteers and fosters across the Chicagoland area.","cat rescue, animal welfare, adoption, fostering, Chicagoland, Evanston, nonprofit, volunteering","Foster Program; Adoption Program; Donation Campaigns; Paw Print Club (recurring giving)","Cats in need from the Chicagoland area and greater Midwest","Evanston, Chicagoland area",Raised $115000 through The Catalyst Ball to support their rescue mission,"community building, basic needs",all ages,yes
The Night Ministry,https://thenightministry.org/,Housing,"Chicago, IL","The Night Ministry is a Chicago-based organization whose mission is to provide human connection, housing support, and health care to members of the community who are unhoused or experiencing poverty. Their outreach workers go out at night to meet people where they are, offering care without judgment. They also provide transitional and permanent supportive housing for individuals and families in crisis.","unhoused, poverty, housing support, health care, human connection, youth, adults, outreach","Human Connection Outreach; Housing (Transitional & Permanent Supportive); Health Care Services; Youth Housing; Overnight Outreach & Health Bus","Unhoused individuals and families; youth experiencing homelessness; people in poverty",citywide,5429 individuals who are unhoused or experiencing poverty provided with lifesaving resources in one year,"basic needs, housing stability, community building, public health, youth empowerment",all ages,yes
GirlForward,https://www.girlforward.org/,Youth Development,"Chicago, IL - Edgewater","GirlForward is a community of support dedicated to creating and enhancing opportunities for girls who have been displaced globally by conflict and persecution. They support girls in grades 9–12 who are refugees, immigrants, and asylum seekers through mentoring, education, and safe spaces programs. Each girl is paired with a local female mentor for tutoring, career guidance, and personal support.","refugee support, immigrant support, youth empowerment, mentorship, education access, safe spaces, community building, girls","Mentoring Program (1-on-1 female mentors); Education Program (Camp GirlForward, Tutoring, SAT Prep, English Classes); Safe Spaces Program (clothing & supplies distribution, neighborhood exploration)","Refugee, immigrant, and asylum-seeking girls in grades 9–12",Edgewater,Girls served describe GirlForward as their primary sense of community and home in Chicago; expanded to Austin TX in 2018,"mentorship, safe spaces, community building, education access, youth empowerment, immigrant support",youth,yes
Above and Beyond Family Recovery Center,https://aboveandbeyondfrc.org/,Addiction Recovery,"Chicago, IL - West Side","Above and Beyond Family Recovery Center is a 501(c)(3) nonprofit providing free outpatient addiction treatment for Chicago's most vulnerable communities. Their mission is to offer dignified, evidence-based care to those managing addiction, homelessness, and unemployment — ensuring no one is left behind. They serve primarily the West Side and provide wraparound services including housing and employment support.","addiction treatment, recovery, homelessness, unemployment, free services, trauma-informed care, peer support, West Side","Sober Support Groups; Intensive Outpatient Programming; Outpatient Programming; Early Intervention; Housing and Employment Support; CRSS Peer Support; Recovery on Wheels (mobile outreach); Beyond Medicine","Adults facing addiction, homelessness, unemployment; justice-involved clients; underserved West Side communities",West Side,10000+ patients enrolled since founding,"mental health, public health, basic needs, housing stability, economic mobility, workforce development",adults,no
Chicago Cares,https://www.chicagocares.org/,Volunteering,"Chicago, IL","Chicago Cares redefines volunteerism by co-designing service programs with community leaders from Chicago's South, West, and Northwest sides to fulfill neighborhood Quality-of-Life Plans. They organize thousands of service projects annually focused on the most pressing issues within the city, driving community engagement and social change through volunteerism. Since 2017, they have connected over 25000 volunteers and influenced over $10 million in community investment.","volunteering, community service, civic engagement, community development, social impact, equity, education, Chicago","Volunteer Experiences (individual and group); Educational Forums; Corporate Volunteer Programs; Community Quality-of-Life Plan Projects","Individual volunteers, groups, companies; residents of Chicago's South, West, and Northwest sides",citywide,25000+ volunteers connected and $10 million+ in community investment influenced since 2017,"community building, systemic change, education access, workforce development, youth empowerment, basic needs",all ages,yes
WorldChicago,https://www.worldchicago.org/,International Support,"Chicago, IL","WorldChicago is a 501(c)(3) nonprofit dedicated to promoting Citizen Diplomacy through programs that connect the Chicago community with the world. Through international exchanges and youth diplomacy programs, WorldChicago helps advance national security, economic development, and social justice. They engage leaders from Chicago's 77 neighborhoods alongside international visitors.","citizen diplomacy, international exchange, global connections, youth development, professional development, cultural exchange, global leadership, Chicago","Civic Voices in Action (Chicago-Vienna Exchange); Entrepreneurship & Justice-Impacted Communities Exchange; Austria to America Program; Digital Creators Program (South Korea); Youth Diplomats; Young Global Citizens Initiative (YGCI)","International leaders; Chicago community members; students and professionals from all 77 Chicago neighborhoods; high school students",citywide,301 virtual exchange visitors engaged in 2020; programs active across multiple continents,"community building, education access, youth empowerment, immigrant support, workforce development",all ages,yes
Chicago Community Trust,https://www.cct.org/,Economic Mobility,"Chicago, IL - Loop","Founded in 1915, the Chicago Community Trust is one of the nation's oldest and most significant community foundations, mobilizing resources to address the Chicago region's most pressing needs. CCT funds hundreds of nonprofits annually and leads initiatives focused on closing the racial and ethnic wealth gap. Their work spans education, economic opportunity, housing, health, and arts.","community foundation, philanthropy, grantmaking, racial equity, economic opportunity, housing, education, Chicago","Grantmaking; Donor-Advised Funds; Equity Initiatives; Economic Opportunity Programs; Housing Programs; Arts & Culture Funding; ON THE TABLE Community Conversations","Nonprofit organizations; donors; Chicago-area residents; communities of color",citywide,Awarded $400 million+ in grants to the Chicago region in recent years,"economic mobility, systemic change, community building, housing stability, education access",all ages,no
PAWS Chicago,https://www.pawschicago.org/,Animal,"Chicago, IL - Lincoln Park & West Loop","PAWS Chicago is the city's largest no-kill humane organization, working to eliminate the killing of homeless pets through lifesaving programs. Since 1997, PAWS has dramatically reduced the euthanasia rate of dogs and cats in Chicago through adoption, foster, spay/neuter, and community programs. They operate the largest pet adoption and foster programs in Chicago.","animal welfare, no-kill, pet adoption, foster, spay-neuter, Chicago, homeless pets, community","Pet Adoption; Foster Program; Spay/Neuter Clinic; Mobile Surgical Van; Medical Foster Program; Lurie Family Spay/Neuter Clinic; Community Cats Program; Volunteer Program","Homeless and at-risk pets in Chicago; pet adopters and fosters; community members","Lincoln Park, West Loop",Reduced Chicago's animal shelter kill rate from 42000 animals per year in 1997 to near-zero today,"community building, public health, basic needs",all ages,yes
Thresholds,https://www.thresholds.org/,Mental Health,"Chicago, IL","Thresholds provides home, health, and hope for thousands of people in Illinois each year who are living with mental illness and substance use disorders. As Illinois' largest and most experienced community mental health organization, they offer a full continuum of care including housing, healthcare, and employment services. Their approach is grounded in recovery-oriented, trauma-informed care.","mental health, substance use, recovery, housing, healthcare, employment, Illinois, trauma-informed","Psychiatric Rehabilitation; Substance Use Treatment; Supportive Housing; Employment Services; Healthcare; Crisis Services; Youth & Young Adult Programs; Veterans Services","Adults and youth living with mental illness and/or substance use disorders in Illinois",citywide,Serves 10000+ people annually across Illinois with mental health and housing support,"mental health, housing stability, public health, workforce development, basic needs",all ages,no
Heartland Alliance,https://www.heartlandalliance.org/,Housing,"Chicago, IL","Heartland Alliance is a leading anti-poverty organization serving people who are homeless, living in poverty, or seeking safety. They provide a comprehensive range of services including housing, healthcare, legal aid, and economic advancement. Heartland Alliance works across Illinois and internationally to advance the human rights of vulnerable people.","anti-poverty, housing, healthcare, legal aid, economic advancement, human rights, immigration, Chicago","Supportive Housing; Health Care Services; Workforce Development; Legal Services; Immigrant & Refugee Services; Mental Health Services; Re-entry Services","People experiencing homelessness, poverty, immigration challenges, or seeking safety; immigrants and refugees",citywide,Serves 30000+ people annually across Illinois and internationally,"housing stability, basic needs, mental health, workforce development, immigrant support, public health",all ages,no
